Company;Employees;City;Foundation;Rating;Private;Easy apply;Sector;Job Skills;Street Address;Nif;Men; Women 
Zepter;509;Nizip;15/10/06;2.76;true;true;Information_Technology;Work Under Pressure:Communication:Learning;Jackson Street- 5847;27-139-2368;72'56445532; 27'43554468 
21st Century Fox;120;Finkenstein am Faaker See;28/8/17;2.94;true;false;Tourism;Communication:Work Under Pressure:Adaptability;Norland  Pass- 8878;11-190-2838;87'78621339; 12'21378661 
Team Guard SRL;500;St. Johann in Tirol;13/9/04;1.37;false;true;Consumer_Services;Work Under Pressure:Self-motivation:Adaptability;Cingworth  Rue- 527;52-753-9636;68'57898218; 31'42101782 
Apple Inc.;720;Pencahue;10/10/16;3.62;false;true;Finance;Adaptability:Communication:Decision Making;Archery  Rue- 1529;67-733-4618;35'28415147; 64'71584853 
Global Print;706;Lidingo;19/12/04;4.95;true;true;Media;Decision Making:Adaptability:Time Management;Buttonwood Vale- 7290;00-828-1016;57'61816904; 42'38183096 
Mars;612;Bayeux;7/8/15;3.11;false;false;Information_Technology;Leadership:Self-motivation:Teamwork;Thomas More   Route- 9594;95-234-6464;10'3243929; 89'6756071 
Apple Inc.;746;Yunnan;30/8/07;0.36;false;true;Tourism;Work Under Pressure:Communication:Leadership;Archery  Rue- 1529;67-733-4618;35'28415147; 64'71584853 
Comodo;596;Pamplona;2/4/15;1.7;true;false;Consumer_Services;Self-motivation:Communication:Conflict Resolution;Marischal  Hill- 1123;68-057-7309;42'14314818; 57'85685182 
Telekom;650;Thorembais-Saint-Trond;15/1/22;0.71;true;true;Finance;Learning:Self-motivation:Communication;Battersea   Vale- 3051;82-856-6819;54'05978682; 45'94021318 
It Smart Group;935;Rothesay;6/9/11;4.21;true;false;Media;Self-motivation:Communication:Work Under Pressure;Ayres   Alley- 5501;12-164-9192;27'00497999; 72'99502001 
Carrefour;798;Brandon;6/1/15;4.36;false;false;Information_Technology;Learning:Self-motivation:Work Under Pressure;Hickory Lane Road- 8735;74-229-6137;23'11396537; 76'88603463 
ENEL;751;Enschede;25/3/05;0.76;false;false;Tourism;Adaptability:Decision Making:Decision Making;Calvin   Boulevard- 2060;19-221-8298;93'62720201; 6'372797994 
Coca-Cola Company;335;Napier;19/12/20;3.31;false;true;Consumer_Services;Learning:Learning:Time Management;Camdenhurst   Vale- 4094;71-704-4086;63'89545733; 36'10454267 
